schema_version,batch_id,ritual,units_processed,status,duration_ms
1.0,alfa-1760288351-47fe5f74,forge,1,partial,0
1.0,alfa-1760288351-47fe5f74,parade,1,success,0
1.0,alfa-1760288351-47fe5f74,promote,1,success,0
1.0,alfa-1760288351-47fe5f74,purge,1,partial,0
1.0,alfa-1760719553-00000001,forge,1,success,0
1.0,alfa-1760719553-00000002,forge,1,success,0
1.0,alfa-1760719553-00000003,forge,1,success,0
1.0,alfa-1760719553-00000004,forge,1,success,0
1.0,alfa-1760719553-00000005,forge,1,success,0
1.0,alfa-1760719553-00000006,forge,1,success,0
1.0,alfa-1760719553-00000007,forge,1,success,0
1.0,alfa-1760719553-00000008,forge,1,success,0
1.0,alfa-1760721354-6132f38c,forge,1,success,0
1.0,alfa-1760721382-0cc23c9b,forge,1,success,0
1.0,alfa-1760721390-3e474718,forge,1,success,0
1.0,alfa-1760721470-19d09f09,forge,1,success,0
1.0,alfa-1760721475-3e07cfb0,forge,1,success,0
1.0,alfa-1760721497-696d48bb,forge,1,success,0
1.0,alfa-1760721502-3d89c5b5,forge,1,success,0
1.0,alfa-1761133287-136af252,forge,1,partial,0
1.0,alfa-1761133320-66974519,forge,1,success,0
1.0,alfa-1761133332-1e8cf793,forge,1,success,0
1.0,alfa-1761133344-328549e2,forge,1,success,0
1.0,alfa-1761133848-27b0aadd,forge,1,success,0
1.0,alfa-1761134411-2e7d87d0,forge,1,success,0
1.0,alfa-1761135043-17ffd111,forge,1,success,0
1.0,alfa-1761135065-283578bf,forge,1,success,0
1.0,alfa-1761140942-660fbcb7,forge,1,success,0
1.0,alfa-1761140955-5313e059,forge,1,success,0
